Year,Brand,Market_Share,Total_Market_Size
2015,Tesla,0.0586068862271379,4204829
2015,Nissan,0.1949588748795203,4204829
2015,Chevrolet,0.0321409119910004,4204829
2015,BMW,0.1197189197170846,4204829
2015,Ford,0.0700637251673887,4204829
2015,Volkswagen,0.0392124847611329,4204829
2015,Hyundai,0.0559273764114971,4204829
2015,Kia,0.1374153546927085,4204829
2015,Audi,0.0445730995441702,4204829
2015,Jaguar,0.0090549947941958,4204829
2015,Rivian,0.0019467378264141,4204829
2015,Lucid,0.021754740362698,4204829
2015,Polestar,0.0157496699873635,4204829
2015,Mercedes-Benz,0.1793257304656859,4204829
2015,Volvo,0.0195504931720014,4204829
2016,Tesla,0.1914596872342849,4116325
2016,Nissan,0.0049689914744838,4116325
2016,Chevrolet,0.0744258999232396,4116325
2016,BMW,0.0226995372209019,4116325
2016,Ford,0.1592523313997943,4116325
2016,Volkswagen,0.0663991993970009,4116325
2016,Hyundai,0.0650726705326925,4116325
2016,Kia,0.0421912257260229,4116325
2016,Audi,0.0624141620171318,4116325
2016,Jaguar,0.0748557955831361,4116325
2016,Rivian,0.0298362308464584,4116325
2016,Lucid,0.1293655379262615,4116325
2016,Polestar,0.0119565889605618,4116325
2016,Mercedes-Benz,0.062282755173622,4116325
2016,Volvo,0.002819386584407,4116325
2017,Tesla,0.1431746420530878,1308767
2017,Nissan,0.0662440908785613,1308767
2017,Chevrolet,0.0194018166875278,1308767
2017,BMW,0.0546182384539712,1308767
2017,Ford,0.0442290545687326,1308767
2017,Volkswagen,0.0153202862561412,1308767
2017,Hyundai,0.0460982349157132,1308767
2017,Kia,0.049606590837875,1308767
2017,Audi,0.0275835658658879,1308767
2017,Jaguar,0.001539933217879,1308767
2017,Rivian,0.030708993489825,1308767
2017,Lucid,0.0292796113850792,1308767
2017,Polestar,0.0792699966593458,1308767
2017,Mercedes-Benz,0.0068794242159,1308767
2017,Volvo,0.3860455205144723,1308767
2018,Tesla,0.0244569291148759,4001683
2018,Nissan,0.0269255657252558,4001683
2018,Chevrolet,0.1294804105517595,4001683
2018,BMW,0.1390434454234641,4001683
2018,Ford,0.0419753650062923,4001683
