Year,Brand,Market_Share,Total_Market_Size
2015,Tesla,0.058606886227137965,4204829
2015,Nissan,0.1949588748795203,4204829
2015,Chevrolet,0.03214091199100045,4204829
2015,BMW,0.11971891971708462,4204829
2015,Ford,0.07006372516738876,4204829
2015,Volkswagen,0.03921248476113295,4204829
2015,Hyundai,0.055927376411497184,4204829
2015,Kia,0.13741535469270857,4204829
2015,Audi,0.04457309954417025,4204829
2015,Jaguar,0.009054994794195853,4204829
2015,Rivian,0.0019467378264141925,4204829
2015,Lucid,0.021754740362698068,4204829
2015,Polestar,0.015749669987363504,4204829
2015,Mercedes-Benz,0.17932573046568592,4204829
2015,Volvo,0.019550493172001426,4204829
2016,Tesla,0.1914596872342849,4116325
2016,Nissan,0.004968991474483883,4116325
2016,Chevrolet,0.07442589992323967,4116325
2016,BMW,0.022699537220901952,4116325
2016,Ford,0.15925233139979433,4116325
2016,Volkswagen,0.06639919939700097,4116325
2016,Hyundai,0.06507267053269251,4116325
2016,Kia,0.0421912257260229,4116325
2016,Audi,0.062414162017131805,4116325
2016,Jaguar,0.07485579558313615,4116325
2016,Rivian,0.0298362308464584,4116325
2016,Lucid,0.12936553792626154,4116325
2016,Polestar,0.011956588960561858,4116325
2016,Mercedes-Benz,0.06228275517362208,4116325
2016,Volvo,0.0028193865844070567,4116325
2017,Tesla,0.14317464205308783,1308767
2017,Nissan,0.06624409087856133,1308767
2017,Chevrolet,0.019401816687527895,1308767
2017,BMW,0.05461823845397125,1308767
2017,Ford,0.04422905456873263,1308767
2017,Volkswagen,0.015320286256141265,1308767
2017,Hyundai,0.04609823491571328,1308767
2017,Kia,0.04960659083787505,1308767
2017,Audi,0.027583565865887914,1308767
2017,Jaguar,0.0015399332178790334,1308767
2017,Rivian,0.030708993489825077,1308767
2017,Lucid,0.02927961138507922,1308767
2017,Polestar,0.0792699966593458,1308767
2017,Mercedes-Benz,0.006879424215900026,1308767
2017,Volvo,0.3860455205144723,1308767
2018,Tesla,0.02445692911487596,4001683
2018,Nissan,0.026925565725255864,4001683
2018,Chevrolet,0.12948041055175954,4001683
2018,BMW,0.13904344542346414,4001683
2018,Ford,0.04197536500629233,4001683
2018,Volkswagen,0.008866015145663484,4001683
2018,Hyundai,0.019416508297376133,4001683
2018,Kia,0.005603201231731581,4001683
2018,Audi,0.06527925087764554,4001683
2018,Jaguar,0.01198790418472922,4001683
2018,Rivian,0.24424331570166766,4001683
2018,Lucid,0.026694117517114483,4001683
2018,Polestar,0.010298682892603547,4001683
2018,Mercedes-Benz,0.11396405002370841,4001683
2018,Volvo,0.131765238306112,4001683
2019,Tesla,0.02800979514441081,2694407
2019,Nissan,0.04589817175345664,2694407
2019,Chevrolet,0.0674306152280734,2694407
2019,BMW,0.059901164274377534,2694407
